1,89,3473.15,1323.15,,,,,
2,13,2792.15,933.473,6700.15,,,,
3,95,,1449.15,,,,,
4,51,1860.15,903.778,,,,,gray
5,18,87.302,83.81,150.687,4.863,83.8058,68.89,
6,33,889.15,1090.15,1673.15,22.3,1090.15,3700.0,gray
7,85,,575.15,,,,,
8,56,2118.15,1000.15,,,,,
9,97,,1259.15,,,,,"Î² form"
10,4,2741.15,1560.15,5205.15,,,,
11,83,1837.15,544.552,4620.15,,,,
12,5,4273.15,2350.15,,,,,
13,35,331.95,265.95,588.15,10.34,265.9,5.879,
14,48,1040.15,594.219,,,,,
15,20,1757.15,1115.15,,,,,
16,98,,1173.15,,,,,
17,6,4098.15,4762.15,,,4762.15,10300.0,graphite
18,6,,4713.15,,,,,diamond
19,58,3716.15,1072.15,,,,,
20,55,944.15,301.65,1938.15,9.4,,,
21,17,239.11,171.65,417.05,7.991,,,
22,24,2944.15,2180.15,,,,,
23,27,3200.15,1768.15,,,,,
24,29,2833.15,1357.77,,,,,
25,96,,1618.15,,,,,
26,66,2840.15,1685.15,,,,,
27,99,,1133.15,,,,,
28,68,3141.15,1802.15,,,,,
29,63,1802.15,1095.15,,,,,
30,100,,1800.15,,,,,
31,9,85.04,53.48,144.41,5.1724,53.48,90.0,
32,87,,294.15,,,,,
33,64,3546.15,1586.15,,,,,
34,31,2502.15,302.9146,,,302.9166,,
35,32,3106.15,1211.4,9802.15,,,,
36,79,3109.15,1337.33,,,,,
37,72,4873.15,2506.15,,,,,
38,2,4.22199999999998,,5.19499999999999,0.22746,2.17699999999996,5.043,
39,67,2973.15,1745.15,,,,,
40,1,20.271,13.99,32.938,1.2858,13.8033,7.041,
41,49,2300.15,429.7485,,,429.7436,,
42,53,457.55,386.85,819.15,,386.75,12.11,
43,77,4701.15,2719.15,,,,,
44,26,3134.15,1811.15,9340.15,,,,
45,36,119.735,115.78,209.48,5.525,115.775,73.53,
46,57,3737.15,1193.15,,,,,
47,103,,1900.15,,,,,
48,82,2022.15,600.612,,,,,
49,3,1615.15,453.65,3223.15,67.0,,,
50,71,3675.15,1936.15,,,,,
51,12,1363.15,923.15,,,,,
52,25,2334.15,1519.15,4325.15,,,,
53,101,,1100.15,,,,,
54,80,629.769,234.321,1764.15,167.0,234.3156,,
55,42,4912.15,2895.15,,,,,
56,60,3347.15,1289.15,,,,,
57,10,27.104,24.56,44.492,2.6786,24.5561,43.37,
58,93,,917.15,,,,,
59,28,3186.15,1728.15,,,,,
60,41,5014.15,2750.15,,,,,
61,7,77.355,63.15,126.192,3.3958,63.151,12.52,
62,102,,1100.15,,,,,
63,76,5281.15,3306.15,,,,,
64,8,90.188,54.36,154.581,5.043,54.3584,0.1463,
65,46,3236.15,1827.95,,,,,
66,15,553.65,317.3,994.15,,,,white
67,15,,852.35,994.15,,,,red
68,78,4098.15,2041.35,,,,,
69,94,3501.15,913.15,,,,,
70,84,1235.15,527.15,,,,,
71,19,1032.15,336.65,2223.15,16.0,,,
72,59,3793.15,1204.15,,,,,
73,61,,1315.15,,,,,
74,91,,1845.15,,,,,
75,88,,969.15,,,,,
76,86,211.45,202.15,377.15,6.28,,,
77,75,5863.15,3458.15,,,,,
78,45,3968.15,2236.15,,,,,
79,37,961.15,312.45,2093.15,16.0,312.41,,
80,44,4420.15,2606.15,,,,,
81,62,2067.15,1345.15,,,,,
82,21,3109.15,1814.15,,,,,
83,34,958.15,453.15,1766.15,,,,vitreous
84,34,958.15,493.95,1766.15,27.2,,,gray
85,14,3538.15,1687.15,,,,,
86,47,2435.15,1234.93,6410.15,,,,
87,11,1156.09,370.944,2573.15,35.0,,,
88,38,1650.15,1050.15,,,,,
89,16,717.76,368.35,1314.15,20.7,,,rhombic
90,16,717.76,388.36,1314.15,,,,monoclinic
91,73,5728.15,3290.15,,,,,
92,43,4535.15,2430.15,,,,,
93,52,1261.15,722.66,2329.15,,,,
94,65,3503.15,1632.15,,,,,
95,81,1746.15,577.15,,,,,
96,90,5058.15,2023.15,,,,,
97,69,2223.15,1818.15,,,,,
98,50,2859.15,286.35,,,,,gray
99,50,2859.15,505.078,,,,,white
100,22,3560.15,1943.15,,,,,
101,74,5828.15,3687.15,,,,,
102,92,4404.15,1408.15,,,,,
103,23,3680.15,2183.15,,,,,
104,54,165.051,161.4,289.733,5.842,161.405,81.77,
105,70,1469.15,1097.15,,,,,
106,39,3618.15,1795.15,,,,,
107,30,1180.15,692.677,,,,,
108,40,4679.15,2127.15,,,,,
